sku,manual_categories
APP1211,accessories
APP1212,accessories
APP1213,accessories
APP1215,accessories
APP1235,pc
APP1236,pc
APP1271,pc
APP1374-A,pc
APP1378,pc
APP1427,accessories
APP1428,accessories
APP1429,accessories
APP1430,accessories
APP1433,accessories
APP1434,accessories
APP1436,accessories
APP1439,accessories
APP1446,accessories
APP1455,accessories
APP1456,accessories
APP1457,accessories
APP1459,accessories
APP1460,accessories
APP1464,accessories
APP1475,smartphone
APP1479,tablet
APP1480,tablet
APP1483,tablet
APP1484,tablet
APP1485,tablet
APP1486,tablet
APP1487,tablet
APP1489,tablet
APP1492,tablet
APP1495,tablet
APP1499,tablet
APP1509,accessories
APP1510,accessories
APP1511,accessories
APP1512,accessories
APP1513,accessories
APP1514,accessories
APP1520,accessories
APP1521,accessories
APP1522,accessories
APP1523,accessories
APP1525,accessories
APP1526,accessories
APP1532,accessories
APP1538,accessories
APP1542,accessories
APP1563,accessories
APP1564,accessories
APP1564-A,accessories
APP1565,accessories
APP1566,accessories
APP1568,laptop
APP1569,laptop
APP1570,laptop
APP1575,laptop
APP1576,laptop
APP1577,laptop
APP1577-A,laptop
APP1578,laptop
APP1579,laptop
APP1580,laptop
APP1607,laptop
APP1609,laptop
APP1611,laptop
APP1622,accessories
APP1623,accessories
APP1624,smartphone
APP1625,smartphone
APP1625-A,smartphone
APP1626,smartphone
APP1627,smartphone
APP1628,smartphone
APP1629,smartphone
APP1630,smartphone
APP1631,smartphone
APP1632,smartphone
APP1634,smartphone
APP1635,smartphone
APP1636,smartphone
APP1637,smartphone
APP1638,smartphone
APP1639,smartphone
APP1640,smartphone
APP1641,smartphone
APP1642,smartphone
APP1643,smartphone
APP1644,smartphone
APP1645,smartphone
APP1646,smartphone
APP1651,smartphone
APP1652,smartphone
APP1653,smartphone
APP1655,smartphone
APP1656,smartphone
APP1657,smartphone
APP1658,smartphone
APP1659,smartphone
APP1660,accessories
APP1661,accessories
APP1663,accessories
APP1666,accessories
APP1667,accessories
APP1669,accessories
APP1670,accessories
APP1671,accessories
APP1672,accessories
APP1673,accessories
APP1676,accessories
APP1677,accessories
APP1679,accessories
APP1680,accessories
APP1681,accessories
APP1682,accessories
